date,temperature
2021-08-27T13:39:47+08:00,10.5
2021-08-27T13:39:51+08:00,10.13
2021-08-27T13:39:56+08:00,12.34
2021-08-27T13:40:02+08:00,11.36
2021-08-27T13:40:06+08:00,16.09
2021-08-27T13:40:11+08:00,19.62
2021-08-27T13:40:16+08:00,15.86
2021-08-27T13:40:21+08:00,10.05
2021-08-27T13:40:26+08:00,17.21
2021-08-27T13:40:32+08:00,10.58
2021-08-27T13:40:39+08:00,23.43
2021-08-27T13:40:41+08:00,15.63
2021-08-27T13:41:01+08:00,19.98
2021-08-27T13:41:06+08:00,12.69
2021-08-27T13:41:11+08:00,25.16
2021-08-27T13:41:16+08:00,23.66
2021-08-27T13:41:21+08:00,27.95
2021-08-27T13:41:27+08:00,15.89
2021-08-27T13:41:31+08:00,24.9
2021-08-27T13:41:36+08:00,28.24
2021-08-27T13:41:42+08:00,22.86
2021-08-27T13:41:46+08:00,11.78
2021-08-27T13:44:32+08:00,11.8
2021-08-27T13:44:37+08:00,21.15
2021-08-27T13:44:41+08:00,22.54
